"Add","Hinzufügen"
"Add New Row","Neue Zeile hinzufügen"
"Add New Row","Neue Zeile hinzufügen"
"Add links and samples to downloadable product","Links und Beispiele zum herunterladbaren Produkt hinzufügen"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumerische Zeichen, Bindestriche und Unterstriche werden für Dateinamen empfohlen. Unangemessene Zeichen werden durch '_' ersetzt."
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumerische Zeichen, Bindestriche und Unterstriche werden für Dateinamen empfohlen. Unangemessene Zeichen werden durch '_' ersetzt."
"An error occurred while getting the requested content.","Beim Laden des angeforderten Inhalts ist ein Fehler aufgetreten."
"An error occurred while getting the requested content. Please contact the store owner.","Beim Laden des angeforderten Inhalts ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Shopbesitzer."
"An error occurred while getting the requested content. Please contact the store owner.","Beim Laden des angeforderten Inhalts ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Shopbesitzer."
"An error occurred while getting the requested content. Please contact the store owner.","Beim Laden des angeforderten Inhalts ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Shopbesitzer."
"An error occurred while saving the file(s).","Beim Speichern der Datei(en) ist ein Fehler aufgetreten."
"Availability:","Verfügbarkeit:"
"Availability:","Verfügbarkeit:"
"Back","Zurück"
"Back","Zurück"
"Canceled","Storniert"
"Canceled","Storniert"
"Cannot connect to remote host, error: %s.","Verbindung zu Remote Host kann nicht aufgebaut werden, Fehler: %s."
"Catalog Product View (Downloadable)","Katalog Produktansicht (Herunterladbar)"
"Catalog Product View (Downloadable)","Katalog Produktansicht (Herunterladbar)"
"Category API","Kategorie API"
"Customer My Account Downloadable Items","Kunde Mein Konto Herunterladbare Artikel"
"Customer My Account Downloadable Items","Kunde Mein Konto Herunterladbare Artikel"
"Date","Datum"
"Date","Datum"
"Date","Datum"
"Default Link Title","Standard Linktitel"
"Default Maximum Number of Downloads","Standard Maximumanzahl von Downloads"
"Default Sample Title","Standard Beispietitel"
"Delete","Löschen"
"Disable Guest Checkout if Cart Contains Downloadable Items","Gastcheckout deaktivieren wenn Warenkorb Herunterladbare Artikel enthält"
"Downloadable Information","Herunterladbare Informationen"
"Downloadable Information","Herunterladbare Informationen"
"Downloadable Product","Herunterladbares Produkt"
"Downloadable Product Options","Herunterladbare Produktoptionen"
"Downloadable Product Section","Herunterladbarer Produktbereich"
"Edit","Bearbeiten"
"Edit","Bearbeiten"
"Edit","Bearbeiten"
"Edit item parameters","Artikelangaben ändern"
