"#Sales/#Orders","#购买数/#下单数"
"%s %s for each sale you deliver","新客户购买数中 %s %s"
"%s %s for the first order of a customer, %s for next orders","初次下单额中%s %s ，下次下单额中, %s"
"%s - Minimum balance required for payout.","%s - 最小提款额"
"%s for next orders","下次下单额中 %s"
"%s for the first order of a customer","初次下单额中 %s"
"%s of sales amount","下单额中 %s"
"%s on the first order, %s of next orders","初次下单额中 %s，下次下单额中 %s"
"%s per sale","购买数中 %s"
"%sx%s","%sx%s"
"-- Please Select --","-- 请选择 --"
"1. Log in to your email and get your authentication code.","1. 请登录您的账户，然后获得认证编码。"
"10px","10px"
"2. Put authentication code into the blank below.","2. 请填写您的认证编码。"
"3. Click on Verify button.","3. 点击认证键。"
"Allow affiliates to use commission to check out at your store","允许客户商品购买时使用回扣。"
"Customer first buys through affiliate A's link, though later clicks affiliate B's link and buys, this transaction will still be counted for affiliate A.","如果新客户初次访问经初次推荐人（柳先生）的连接。但，以后访问经别的推荐人（王先生）的连接。这样的话回扣全部反映初次推荐人（柳先生）。"
"ADDITIONAL SALES COMMISSIONS","追加回扣"
"ASC","ASC"
"Account Balance","账户余额"
"Account Balance Scope","账户余额的范围"
"Account Configuration","账户设定"
"Account Email","账户邮箱"
"Account Information","账户信息"
"Account Manager","账户管理者"
"New Account","新账户"
"Account Settings","账户设定"
"This account does not exist.","这个账户已经存在。"
"Account not enough balance to cancel","没有充分的余额为取消。"
"The account has been deleted successfully.","账户注销成功。"
"The account has been updated successfully.","账户信息更新成功。"
"Accounts Manager","账户管理者"
"Action","进行"
"Add Account","追加账户"
"Add Banner","追加横幅"
"Add Level","追加水平"
"Add Withdrawal","追加提款"
"Add Withdrawal for ","追加提款-接受人： "
"Add commission to affiliate account balance when order status is","什么时候反映推荐人的余额？（时候的话新客户的交易状态）"
"Add payout","追加汇款"
"Additional Commission","追加回扣"
"Additional Commission Percentage","追加回扣率"
"Additional commissions received","追加回扣反映成功"
"Address","地址"
"Address Information","地址信息"
"Affiliate","推荐人"
"Affiliate Account","推荐人账户"
"Affiliate Account Information","推荐人账户信息"
"Affiliate Credit","推荐人存蓄"
"Affiliate Discount","推荐人优惠"
"Affiliate Email","推荐人邮箱"
"Affiliate Home","推荐人首页"
"Affiliate Link","推荐人连接"
"Affiliate Login","推荐人登录"
"Affiliate Name","推荐人名"
"Affiliate Plus","Affiliate Plus"
"Affiliate Program","推荐人计划"
"Affiliate Store Credit","推荐人商城存蓄"
"Affiliate login","推荐人登录"
"Affiliateplus","Affiliateplus"
"Affiliates","推荐有礼"
"After this time, a new click/view from each IP will be counted as an unique click/view.","今后，经过个个IP的新点击/浏览将计算固有点击/浏览。"
"All","全部"
"All time","全部时间"
"Allow Everything","允许全部"
"Allow affiliates to cancel withdrawal request within","可取消提款要求期限"
"Allow withdrawal request","可不可要求提款"
"Amount","金额"
"Amount To Transfer","汇款额"
"An authentication code has been sent to you. Please take the following steps to verify your email address.","认证编码已发送您。请进行以后的邮件认证过程。"
"Apply","反映"
"Approved","已承认"
"Are you sure you want to pay out for this account?","您肯定汇款对这个账户吗? 真的吗？ 确认过吗？"
"Are you sure of paying out for this withdrawal?","您肯定汇款吗？ 真的吗？ 确认过吗？"
"Are you sure?","您肯定吗？ 真的吗？"
"Associate to Website","连接网址"
"Authentication Code","认证编码"
"Automatic Payout for Affiliate through Paygate","自动汇款（经过网上支付方式）"
"Automatically pay out for Affiliate through the paygate","自动汇款（经过网上支付方式）"
"Applied when transaction is canceled or completed","如果交易状态是取消或者完成，差额会反映。"
"Back","返回"
"Back to Edit","返回编辑"
"Balance","余额"
"Balance: %s","余额: %s"
"Banner Information","横幅信息"
"Banner Manager","横幅管理者"
"New Banner","新横幅"
"Banner Type","横幅种类"
